date,Close,MA5,MA20,Signal,Decision,StratReturn,Equity,Benchmark Portfolio
2020-04-01,1.4077999591827393,,,0,0,0.0,10000.0,10000.0
2020-04-02,1.4151400327682495,,,0,0,0.0,10000.0,10052.13861200686
2020-04-03,1.4129300117492676,,,0,0,-0.0,10000.0,10036.440209655259
2020-04-06,1.4251999855041504,,,0,0,0.0,10000.0,10123.597292412995
2020-04-07,1.411229968070984,1.4144599914550782,,0,0,-0.0,10000.0,10024.364320128521
2020-04-08,1.4013999700546265,1.4131799936294556,,0,0,-0.0,10000.0,9954.539072924621
2020-04-09,1.40038001537323,1.4102279901504517,,0,0,-0.0,10000.0,9947.294047274894
2020-04-10,1.39860999584198,1.4073639869689942,,0,0,-0.0,10000.0,9934.721099536797
2020-04-13,1.39683997631073,1.40169198513031,,0,0,-0.0,10000.0,9922.1481517987
2020-04-14,1.387310028076172,1.3969079971313476,,0,0,-0.0,10000.0,9854.454242785587
2020-04-15,1.3880900144577026,1.3942460060119628,,0,0,0.0,10000.0,9859.994705948999
2020-04-16,1.411910057067871,1.3965520143508912,,0,0,0.0,10000.0,10029.19518400553
2020-04-17,1.4039499759674072,1.3976200103759766,,0,0,-0.0,10000.0,9972.652483826132
2020-04-20,1.4048000574111938,1.3992120265960692,,0,0,0.0,10000.0,9978.690851978097
2020-04-21,1.412919998168945,1.404334020614624,,0,0,0.0,10000.0,10036.369080371178
2020-04-22,1.4189000129699707,1.4104960203170775,,0,0,0.0,10000.0,10078.846811401212
2020-04-23,1.4183800220489502,1.4117900133132935,,0,0,-0.0,10000.0,10075.153169292269
2020-04-24,1.406499981880188,1.4123000144958495,,0,0,-0.0,10000.0,9990.765894727643
2020-04-27,1.4107999801635742,1.4134999990463257,,0,0,0.0,10000.0,10021.309994799094
2020-04-28,1.4036200046539309,1.4116400003433227,1.4068355023860932,0,0,-0.0,10000.0,9970.308604560303
2020-04-29,1.398300051689148,1.4075200080871582,1.4063605070114136,0,0,-0.0,10000.0,9932.519478839124
2020-04-30,1.38742995262146,1.4013299942016602,1.4049750030040742,1,0,-0.0,10000.0,9855.306100640148
2020-05-01,1.3952900171279907,1.3990880012512208,1.4040930032730103,1,1,0.0056651973612646955,10056.651973612647,9911.138354755949
2020-05-04,1.41349995136261,1.3996279954910278,1.4035080015659331,1,1,0.013051003025236207,10187.901368944013,10040.488651407404
2020-05-05,1.408370018005371,1.400577998161316,1.4033650040626526,1,1,-0.003629241976480957,10150.927009643594,10004.049288529337
2020-05-06,1.4042199850082395,1.4017619848251344,1.4035060048103332,1,1,-0.002946692235758608,10121.015351838525,9974.570434164682
2020-05-07,1.416290044784546,1.4075340032577515,1.404301506280899,0,1,0.008595561881449498,10208.011165598353,10060.30747157242
2020-05-08,1.3969500064849854,1.4078660011291504,1.4042185068130493,0,0,-0.0,10208.011165598353,9922.929727146373
2020-05-11,1.3924100399017334,1.403648018836975,1.4039970099925996,1,0,-0.0,10208.011165598353,9890.681064588607
2020-05-12,1.4018000364303589,1.4023340225219727,1.4047215104103088,1,1,0.006743700676912878,10276.850937405732,9957.380857179003
2020-05-13,1.4080899953842163,1.4031080245971679,1.4057215094566344,1,1,0.004487058632038909,10322.963770114595,10002.060208906707
2020-05-14,1.408900022506714,1.4016300201416017,1.4055710077285766,1,1,0.000575266584631029,10328.902226225899,10007.814059922359
2020-05-15,1.4033000469207764,1.4029000282287598,1.405538511276245,1,1,-0.003974714668521506,10287.847787037594,9968.03585457855
2020-05-18,1.40910005569458,1.406238031387329,1.4057535111904145,0,1,0.004133120914896704,10330.368705895473,10009.234952049548
2020-05-19,1.3939000368118286,1.404658031463623,1.4048025131225585,1,0,-0.0,10330.368705895473,9901.264932704076
2020-05-20,1.3938000202178955,1.4018000364303589,1.4035475134849549,1,1,-7.175306068707421e-05,10329.6274703228,9900.554486640482
2020-05-21,1.3904500007629397,1.398110032081604,1.4021510124206542,1,1,-0.002403515143034718,10304.800054275971,9876.758354007401
2020-05-22,1.394700050354004,1.3963900327682495,1.401561015844345,1,1,0.0030566000853913255,10336.297707001811,9906.947654435648
2020-05-25,1.3985899686813354,1.3942880153656005,1.400950515270233,1,1,0.0027890716189078457,10365.126381580993,9934.57884096864
2020-05-26,1.3971799612045288,1.3949440002441407,1.4006285130977632,1,1,-0.0010081635850256454,10354.676638608895,9924.563160348609
2020-05-27,1.378250002861023,1.3918339967727662,1.3996260106563567,1,1,-0.013548690125204876,10214.384333485685,9790.098329461021
2020-05-28,1.375480055809021,1.3888400077819825,1.399028515815735,1,1,-0.0020097566089257723,10193.855907065354,9770.422614641353
2020-05-29,1.377400040626526,1.385380005836487,1.3981340169906615,1,1,0.001395865254022688,10208.08515633054,9784.06080808625
2020-06-01,1.3777999877929688,1.3812220096588135,1.3963490188121797,1,1,0.00029036384103831026,10211.049215146179,9786.901745563438
2020-06-02,1.3582500219345093,1.3734360218048096,1.3938430190086364,1,1,-0.014189262615523446,10066.161956252436,9648.032826503313
2020-06-03,1.35099995136261,1.367986011505127,1.391182017326355,1,1,-0.005337802654015955,10012.430770246598,9596.53353127597
2020-06-04,1.3493800163269043,1.3627660036087037,1.387836515903473,1,1,-0.0011990637261474202,10000.425227699432,9585.026676021862
2020-06-05,1.350160002708435,1.3573179960250854,1.3854970157146453,1,1,0.0005780331501084035,10006.205804996223,9590.567139185276
2020-06-08,1.3392800092697144,1.3496140003204347,1.3828405141830444,1,1,-0.008058299325187646,9925.572803510133,9513.283478479412
2020-06-09,1.3367999792099,1.3453239917755127,1.3795905113220215,1,1,-0.0018517636660363435,9907.192988427994,9495.66712578926
2020-06-10,1.3422000408172607,1.343564009666443,1.3762960135936737,1,1,0.0040395434555231535,9947.213525027004,9534.02528578307
2020-06-11,1.3428399562835691,1.342255997657776,1.3729930102825165,1,1,0.000476766090633296,9951.956019132025,9538.570785746571
2020-06-12,1.3637900352478027,1.3449820041656495,1.3710175096988677,1,1,0.015601322306654453,10107.219692568153,9687.38510291984
2020-06-15,1.3637100458145142,1.3498680114746093,1.3687480092048645,1,1,-5.86523080688961e-05,10106.626880805024,9686.816915424402
2020-06-16,1.3533899784088137,1.353186011314392,1.3667225062847137,1,1,-0.00756764052400638,10030.143561660832,9613.510567186606
2020-06-17,1.353350043296814,1.3554160118103027,1.3647000074386597,1,1,-2.950746838448204e-05,10029.847597516795,9613.226896827482
2020-06-18,1.3575799465179443,1.3583640098571776,1.3630565047264098,1,1,0.003125505660624306,10061.195942958033,9643.273091910381
2020-06-19,1.3592400550842283,1.3574540138244628,1.361283504962921,1,1,0.0012228440546295793,10073.499216599343,9655.065311077995
2020-06-22,1.3617000579833984,1.3570520162582398,1.3594390094280242,1,1,0.001809836967332279,10091.730607871938,9672.539405199992
2020-06-23,1.3501800298690796,1.356410026550293,1.3570890128612518,1,1,-0.008460033505013898,10006.354228805767,9590.709397753433
2020-06-24,1.3542200326919556,1.3565840244293212,1.3558875143527984,0,1,0.002992195657987695,10036.295198481486,9619.406676770412
2020-06-25,1.3643800020217896,1.3579440355300902,1.355332511663437,0,0,0.0,10036.295198481486,9691.575803240143
2020-06-26,1.3634999990463257,1.3587960243225097,1.354637509584427,0,0,-0.0,10036.295198481486,9685.324894013133
2020-06-29,1.3678300380706787,1.3600220203399658,1.3541390120983123,0,0,0.0,10036.295198481486,9716.08238193682
2020-06-30,1.3656599521636963,1.3631180047988891,1.3545095086097718,0,0,-0.0,10036.295198481486,9700.667649944342
